year,month,fhv_pickup_location_id,fhv_pickup_lon,fhv_pickup_lat,fhv_pickup_datetime,fhv_dropoff_location_id,fhv_dropoff_lon,fhv_dropoff_lat,fhv_dropoff_datetime,green_pickup_location_id,green_pickup_lon,green_pickup_lat,green_pickup_datetime,green_dropoff_location_id,green_dropoff_lon,green_dropoff_lat,green_dropoff_datetime,yellow_pickup_location_id,yellow_pickup_lon,yellow_pickup_lat,yellow_pickup_datetime,yellow_dropoff_location_id,yellow_dropoff_lon,yellow_dropoff_lat,yellow_dropoff_datetime
2009,1,,,,,,,,,,,,,,,,,,Start_Lon,Start_Lat,Trip_Pickup_DateTime,,End_Lon,End_Lat,Trip_Dropoff_DateTime
2009,2,,,,,,,,,,,,,,,,,,Start_Lon,Start_Lat,Trip_Pickup_DateTime,,End_Lon,End_Lat,Trip_Dropoff_DateTime
2009,3,,,,,,,,,,,,,,,,,,Start_Lon,Start_Lat,Trip_Pickup_DateTime,,End_Lon,End_Lat,Trip_Dropoff_DateTime
2009,4,,,,,,,,,,,,,,,,,,Start_Lon,Start_Lat,Trip_Pickup_DateTime,,End_Lon,End_Lat,Trip_Dropoff_DateTime
2009,5,,,,,,,,,,,,,,,,,,Start_Lon,Start_Lat,Trip_Pickup_DateTime,,End_Lon,End_Lat,Trip_Dropoff_DateTime
2009,6,,,,,,,,,,,,,,,,,,Start_Lon,Start_Lat,Trip_Pickup_DateTime,,End_Lon,End_Lat,Trip_Dropoff_DateTime
2009,7,,,,,,,,,,,,,,,,,,Start_Lon,Start_Lat,Trip_Pickup_DateTime,,End_Lon,End_Lat,Trip_Dropoff_DateTime
2009,8,,,,,,,,,,,,,,,,,,Start_Lon,Start_Lat,Trip_Pickup_DateTime,,End_Lon,End_Lat,Trip_Dropoff_DateTime
2009,9,,,,,,,,,,,,,,,,,,Start_Lon,Start_Lat,Trip_Pickup_DateTime,,End_Lon,End_Lat,Trip_Dropoff_DateTime
2009,10,,,,,,,,,,,,,,,,,,Start_Lon,Start_Lat,Trip_Pickup_DateTime,,End_Lon,End_Lat,Trip_Dropoff_DateTime
2009,11,,,,,,,,,,,,,,,,,,Start_Lon,Start_Lat,Trip_Pickup_DateTime,,End_Lon,End_Lat,Trip_Dropoff_DateTime
2009,12,,,,,,,,,,,,,,,,,,Start_Lon,Start_Lat,Trip_Pickup_DateTime,,End_Lon,End_Lat,Trip_Dropoff_DateTime
2010,1,,,,,,,,,,,,,,,,,,pickup_longitude,pickup_latitude,pickup_datetime,,dropoff_longitude,dropoff_latitude,dropoff_datetime
2010,2,,,,,,,,,,,,,,,,,,pickup_longitude,pickup_latitude,pickup_datetime,,dropoff_longitude,dropoff_latitude,dropoff_datetime
2010,3,,,,,,,,,,,,,,,,,,pickup_longitude,pickup_latitude,pickup_datetime,,dropoff_longitude,dropoff_latitude,dropoff_datetime
2010,4,,,,,,,,,,,,,,,,,,pickup_longitude,pickup_latitude,pickup_datetime,,dropoff_longitude,dropoff_latitude,dropoff_datetime
2010,5,,,,,,,,,,,,,,,,,,pickup_longitude,pickup_latitude,pickup_datetime,,dropoff_longitude,dropoff_latitude,dropoff_datetime
2010,6,,,,,,,,,,,,,,,,,,pickup_longitude,pickup_latitude,pickup_datetime,,dropoff_longitude,dropoff_latitude,dropoff_datetime
